Date,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
2007-10-22,6.761412620544434,6.83052777640013,6.544347396478887,6.598343663486003,23068400
2007-10-23,6.78948974609375,6.830527019822167,6.544346671599466,6.598342932625728,23109200
2007-10-24,6.923399925231934,6.990355578460184,6.832686199787314,6.8834428116309505,14815400
2007-10-25,7.236576080322266,7.287332676099534,6.868321340009551,6.868321340009551,26349400
2007-10-26,7.36508846282959,7.381287503256176,7.195540264055164,7.278694953750171,29738800
2007-10-29,7.8650922775268555,7.991443277553448,7.723621572755111,7.723621572755111,32030800
2007-10-30,7.851058006286621,7.991448649974909,7.723626765127609,7.723626765127609,32064200
2007-10-31,7.570274353027344,7.9374490308002255,7.522758211610207,7.806778200047618,29133400
2007-11-01,7.770059585571289,7.959046449386325,7.591872630250983,7.678266130787454,22890600
2007-11-05,7.354288101196289,7.597271193684607,7.332689933653128,7.559473988525435,30225400
2007-11-06,7.425563335418701,7.597270987298915,7.332689734454989,7.559473783166533,30378800
2007-11-07,7.58647346496582,7.7646612627342675,7.47308100531751,7.505479086336292,26825200
2007-11-08,8.833785057067871,9.071368179829859,7.883450918185472,7.959045323450499,86248000
2007-11-09,8.641558647155762,9.815437304615966,8.332700885193638,9.71932405487558,65370400
2007-11-12,8.244144439697266,8.689073695187853,8.17718963824067,8.396414211881709,40788800
2007-11-13,8.39101505279541,8.465530124863715,7.908289377329113,8.303541410918498,36909800
2007-11-14,8.545445442199707,8.767910531996508,8.477410470069257,8.633999251095968,32544800
2007-11-16,8.509809494018555,8.581084116958891,8.315422660695084,8.358619826313346,27237400
2007-11-19,8.347821235656738,8.487130846558355,8.283025071430227,8.487130846558355,25743800
2007-11-21,8.126434326171875,8.585402377816134,8.102675848142352,8.40721461651197,28488400
2007-11-22,8.16963005065918,8.31326022524284,8.125352745024188,8.205267761450695,10266000
2007-11-23,8.250630378723145,8.370502166331233,8.207433197112694,8.28410780311033,13890200
2007-11-26,8.086477279663086,8.407215103818004,8.072438552703398,8.315421652951995,19963400
2007-11-27,7.991443157196045,8.09943563229329,7.7657392797230615,7.883450682098801,21010600
2007-11-28,7.979565143585205,8.206349211308806,7.90505006067934,8.007643422116265,25272000
2007-11-29,7.92664909362793,8.121035085270993,7.832695328787518,8.067038839161699,28679600
2007-11-30,7.851058006286621,8.0454449246369,7.764664461178093,7.991448649974909,24220000
2007-12-03,7.905050277709961,7.950407751633816,7.7214633663975185,7.856453984691181,15271000
2007-12-04,7.963364601135254,7.968764554265881,7.721461696175649,7.856452285269629,15397600
2007-12-05,8.477409362792969,8.507647124234778,8.185830007270157,8.278703602508399,27190200
2007-12-06,8.7095947265625,8.7095947265625,8.492529584902524,8.563805025773721,22622800
2007-12-07,8.672874450683594,8.709592316586242,8.492527234988973,8.492527234988973,22784000
